구,행정동,가장 가까운 관측 소(구),비고
,북아현동,서울,
,신촌동,마포,
,연희동,서대문,
,천연동,서울,
,충현동,서울,
,홍은제1동,서대문,
,홍은제2동,서대문,
,홍제제1동,서대문,
,홍제제2동,서대문,
,홍제제3동,서대문,
서초구,내곡동,서초,
,반포1동,서초,
,반포2동,현충원,
,반포3동,현충원,
,반포4동,서초,
,반포본동,현충원,
,방배1동,남현,
,방배2동,남현,
,방배3동,서초,
,방배4동,현충원,
,방배본동,현충원,
,서초1동,서초,
,서초2동,서초,
,서초3동,서초,
,서초4동,서초,
,양재1동,서초,
,양재2동,서초,
,잠원동,서초,
성동구,금호1가동,성동,
,금호2.3가동,성동,
,금호4가동,성동,
,마장동,성동,
,사근동,성동,
,성수1가제1동,성동,
,성수1가제2동,성동,
,성수2가제1동,성동,
,성수2가제3동,성동,
,송정동,광진,
,옥수동,성동,
,왕십리도선동,성동,
,왕십리제2동,성동,
,용답동,성동,
,응봉동,성동,
,행당제1동,성동,
,행당제2동,성동,
성북구,길음제1동,성북,
,길음제2동,성북,
,돈암제1동,성북,
,돈암제2동,성북,
,동선동,성북,
,보문동,동대문,
,삼선동,성북,
,석관동,노원,
,성북동,성북,
,안암동,동대문,
,월곡제1동,동대문,
,월곡제2동,동대문,
,장위제1동,동대문,
,장위제2동,동대문,
,장위제3동,노원,
,정릉제1동,성북,
,정릉제2동,성북,
,정릉제3동,성북,
,정릉제4동,성북,
,종암동,동대문,
송파구,가락1동,강남,
,가락2동,송파*,
,가락본동,송파*,
,거여1동,송파*,
,거여2동,송파*,
,마천1동,송파*,
,마천2동,송파*,
,문정1동,송파*,
,문정2동,송파*,
,방이1동,송파*,
,방이2동,강남,
,삼전동,강남,
,석촌동,강남,
,송파1동,강남,
,송파2동,송파*,
,오금동,송파*,
,오륜동,송파*,
,위례동,송파*,
,잠실2동,강남,
,잠실3동,강남,
,잠실4동,광진,
,잠실본동,강남,
,잠실6동,광진,
,잠실7동,강남,
,장지동,송파*,
,풍납1동,강동,
,풍납2동,광진,
양천구,목1동,양천,
,목2동,양천,
,목3동,양천,
,목4동,양천,
,목5동,양천,
,신월1동,양천,
,신월2동,양천,
,신월3동,구로,
,신월4동,양천,
,신월5동,김포(공),
,신월6동,구로,
,신월7동,구로,
,신정1동,양천,
,신정2동,양천,
,신정3동,양천,
,신정4동,양천,
,신정5동,양천,
,신정6동,양천,
,신정7동,양천,
영등포구 ,당산제1동,영등포*,
,당산제2동,영등포*,
,대림제1동,기상청,
,대림제2동,기상청,
,대림제3동,기상청,
,도림동,영등포*,
,문래동,영등포*,
,신길제1동,기상청,
,여의동,한강,
,신길제3동,기상청,
,신길제4동,기상청,
,신길제5동,기상청,
,신길제6동,기상청,
,신길제7동,기상청,
,양평제1동,양천,
,양평제2동,영등포*,
,영등포동,영등포*,
,영등포본동,영등포*,
용산구,남영동,중구,
,보광동,용산,
,서빙고동,용산,
,용문동,한강,
,용산2가동,중구,
,원효로제1동,용산,
,원효로제2동,한강,
,이촌제1동,용산,
,이촌제2동,한강,
,이태원제1동,용산,
,이태원제2동,중구,
,청파동,중구,
,한강로동,용산,
,한남동,중구,
,효창동,용산,
,후암동,중구,
은평구,갈현제1동,고양,
,갈현제2동,고양,
,구산동,고양,
,녹번동,서대문,
,대조동,고양,
,불광제1동,서대문,
,불광제2동,은평,
,수색동,서대문,
,신사제1동,서대문,
,신사제2동,서대문,
,역촌동,서대문,
,응암제1동,서대문,
,응암제2동,서대문,
,응암제3동,서대문,
,증산동,서대문,
,진관동,은평,
종로구,가회동,서울,
,교남동,서울,
,무악동,서울,
,부암동,서울,
,사직동,서울,
,삼청동,서울,
,숭인제1동,서울,
,숭인제2동,성동,
,이화동,중구,
,종로1.2.3.4가동,중구,
,종로5.6가동,중구,
,창신제1동,성동,
,창신제2동,중구,
,창신제3동,성동,
,청운효자동,서울,
,평창동,성북,
,혜화동,성북,
중구,광희동,중구,
,다산동,중구,
,동화동,성동,
,명동,중구,
,소공동,중구,
,신당동,성동,
,신당제5동,성동,
,약수동,중구,
,을지로동,중구,
,장충동,중구,
,중림동,중구,
,청구동,성동,
,필동,중구,
,황학동,성동,
,회현동,중구,
중랑구,망우본동,중랑,
,망우제3동,중랑,
,면목본동,중랑,
,면목제2동,중랑,
,면목제3.8동,중랑,
,면목제4동,중랑,
,면목제5동,중랑,
,면목제7동,중랑,
,묵제1동,노원,
,묵제2동,노원,
,상봉제1동,중랑,
,상봉제2동,중랑,
,신내1동,노원,
,신내2동,노원,
,중화제1동,중랑,
,중화제2동,중랑,
